"Title","Default language","Default text","zh-tw text","Variant status","Placeholder"
"Quick Links","English","Quick Links","","","dc.quick_links"
"Resources","English","Resources","","","dc.resources"
"Related Sites","English","Related Sites","","","dc.related_sites"
"Getting Started","English","Getting Started","","","dc.getting_started"
"No Section in Category","English","No Section in Category","","","dc.no_section_in_category"
"Footer_All Rights Reserved","English","All Rights Reserved","","","dc.all_rights_reserved"
"Still Need Help","English","Still Need Help?","","","dc.still_need_help"
"No Articles in Section","English","No Articles in Section","","","dc.no_articles_in_section"
"Sorry We Searched Far Into Outer Space But Couldnt Find","English","Sorry! We searched far into outer space, but couldn't find","","","dc.sorry_we_searched_far_into_outer_space_but_couldnt_find"
"Avatar","English","Avatar","","","dc.avatar"
"View All","English","View All","","","dc.view_all"
"How Can We Help","English","How can we help?","","","dc.how_can_we_help"
"Administering Liferay Analytics Cloud","English","Administering Liferay Analytics Cloud","","","dc.administering_liferay_analytics_cloud"
"Let us know if you cant find a solution to your issue","English","Let us know if you can't find a solution to your issue.","","","dc.let_us_know_if_you_cant_find_a_solution_to_your_issue"
"Analytics Cloud","English","Analytics Cloud","","","dc.analytics_cloud"
"Submit a Ticket","English","Submit a Ticket","","","dc.submit_a_ticket"
"Products","English","Products","","","dc.products"
"Support","English","Support","","","dc.support"
"Project Details","English","Project Details","","","dc.project_details"
"Help Center","English","Help Center","","","dc.help_center"
"Security","English","Security","","","dc.security"
"Commerce","English","Commerce","","","dc.commerce"
"Portal","English","Portal","","","dc.portal"
"Contact Us","English","Contact Us","","","dc.contact_us"
"Subject Ticket Field - Title","English","Subject","","","dc.subject_ticket_field_-_title"
"We are sorry but you do not have access to submit a support ticket","English","We are sorry, but you do not have access to submit a support ticket.","","","dc.we_are_sorry_but_you_do_not_have_access_to_submit_a_support_ticket"
"Browse by Product","English","Browse by Product","","","dc.browse_by_product"
"DXP Cloud","English","DXP Cloud","","","dc.dxp_cloud"
"Development Guide","English","Development Guide","","","dc.development_guide"
"Analytics Cloud Documentation","English","Analytics Cloud Documentation","","","dc.analytics_cloud_documentation"
"Support Information","English","Support Information","","","dc.support_information"
"Admin Guide","English","Admin Guide","","","dc.admin_guide"
"Knowledge Base","English","Knowledge Base","","","dc.knowledge_base"
"Known Issues","English","Known Issues","","","dc.known_issues"
"Mega Menu_Announcements","English","Announcements","","","dc.mega_menu_announcements"
"Mega Menu::Products","English","Products","","","dc.mega_menu-products"
"Mega Menu::DXP 7.1","English","DXP 7.1","","","dc.mega_menu-dxp_7_1"
"Mega Menu::DXP 7.0","English","DXP 7.0","","","dc.mega_menu-dxp_7_0"
"Mega Menu::Commerce","English","Commerce","","","dc.mega_menu-commerce"
"Mega Menu::Portal 6.2","English","Portal 6.2","","","dc.mega_menu-portal_6_2"
"Mega Menu::Analytics Cloud","English","Analytics Cloud","","","dc.mega_menu-analytics_cloud"
"Mega Menu::DXP Cloud","English","DXP Cloud","","","dc.mega_menu-dxp_cloud"
"Mega Menu::Downloads Description","English","Products, service packs, fix packs, and security fixes","","","dc.mega_menu-downloads_description"
"Mega Menu::Fix Pack Tool","English","Fix Pack Tool","","","dc.mega_menu-fix_pack_tool"
"Mega Menu::Documentation Description","English","Product guides, tutorials, and reference docs","","","dc.mega_menu-documentation_description"
"Mega Menu::Portal 6.1","English","Portal 6.1","","","dc.mega_menu-portal_6_1"
"Mega Menu::Portal 6.0","English","Portal 6.0","","","dc.mega_menu-portal_6_0"
"Mega Menu::Resources","English","Resources","","","dc.mega_menu-resources"
"Mega Menu::Downloads","English","Downloads","","","dc.mega_menu-downloads"
"Mega Menu::Fix Pack Tool Description","English","View highlights and release notes for Liferay DXP fix packs","","","dc.mega_menu-fix_pack_tool_description"
"Mega Menu::Knowledge Base","English","Knowledge Base","","","dc.mega_menu-knowledge_base"
"Mega Menu::Documentation","English","Documentation","","","dc.mega_menu-documentation"
"Mega Menu::Knowledge Base Description","English","A library of articles on recurring topics, issues, and themes","","","dc.mega_menu-knowledge_base_description"
"Mega Menu::Announcements","English","Announcements","","","dc.mega_menu-announcements"
"Mega Menu::Announcements Description","English","Updates on product releases, patches, and system improvements","","","dc.mega_menu-announcements_description"
"Mega Menu::Activation Keys Description","English","Activate your environments to get a project started","","","dc.mega_menu-activation_keys_description"
"Mega Menu::Security Advisories Description","English","Information and fixes for known vulnerabilities","","","dc.mega_menu-security_advisories_description"
"Mega Menu::Security and Disclosure Policy","English","Security and Disclosure Policy","","","dc.mega_menu-security_and_disclosure_policy"
"Mega Menu::Security and Disclosure Policy Description","English","Policy for reported security issues in Liferay products","","","dc.mega_menu-security_and_disclosure_policy_description"
"Mega Menu::Activation Keys","English","Activation Keys","","","dc.mega_menu-activation_keys"
"Mega Menu::Support","English","Support","","","dc.mega_menu-support"
"Mega Menu::Security","English","Security","","","dc.mega_menu-security"
"Mega Menu::Compatibility Matrix Description","English","Supported configurations for Liferay products","","","dc.mega_menu-compatibility_matrix_description"
"Mega Menu::Overview","English","Overview","","","dc.mega_menu-overview"
"Mega Menu::Fix Delivery Method Description","English","How Liferay delivers software updates","","","dc.mega_menu-fix_delivery_method_description"
"Mega Menu::Overview Description","English","Background statement on how Liferay approaches security","","","dc.mega_menu-overview_description"
"Mega Menu::Support Coverage","English","Support Coverage","","","dc.mega_menu-support_coverage"
"Mega Menu::Reporting Security Issues","English","Reporting Security Issues","","","dc.mega_menu-reporting_security_issues"
