"Title","Default language","Default text","pt text","Variant status","Placeholder"
"Avatar","English","Avatar","","","dc.avatar"
"Quick Links","English","Quick Links","","","dc.quick_links"
"Resources","English","Resources","","","dc.resources"
"Related Sites","English","Related Sites","","","dc.related_sites"
"View All","English","View All","","","dc.view_all"
"This Section Contains No Article Click Here to Add One","English","This section contains no article, click here to add one.","","","dc.this_section_contains_no_article_click_here_to_add_one"
"Suggested Topics","English","Suggested Topics","","","dc.suggested_topics"
"Receive Help On Bugs and Issues. Available To Subscription Customers","English","Receive help on bugs and issues. Available to subscription customers.","","","dc.receive_help_on_bugs_and_issues_available_to_subscription_customers"
"Getting Started","English","Getting Started","","","dc.getting_started"
"All Rights Reserved","English","All Rights Reserved","","","dc.all_rights_reserved"
"How Can We Help","English","How can we help?","","","dc.how_can_we_help"
"Still Need Help","English","Still Need Help?","","","dc.still_need_help"
"Administering Liferay Analytics Cloud","English","Administering Liferay Analytics Cloud","","","dc.administering_liferay_analytics_cloud"
"Open a Ticket","English","Open a Ticket","","","dc.open_a_ticket"
"My Tickets","English","My Tickets","","","dc.my_tickets"
